Gene ID	Gene Name	g2_g1.p-value	g2_g1.log2foldchange
AFUA_1G02120		0.581267706189375	0.5
AFUA_1G02130		0.575185015857803	-0.5
AFUA_1G02140		0.165780916053429	-1
AFUA_1G02150		0.905757386077118	-0.1
AFUA_1G02160		0.305106777520684	0.7
AFUA_1G02170		0.396120559515014	-0.6
AFUA_1G02180		0.209361210761601	-0.9
AFUA_1G02190		0.526342408617869	0.5
AFUA_1G02200		0.0749964082354352	1.3
AFUA_1G02210		0.0420151115209641	1.7
AFUA_1G02220		NA	-0.8
AFUA_1G02230		NA	-0.8
AFUA_1G02240		NA	0
AFUA_1G02250		NA	0.3
AFUA_1G02255		NA	-0.5
AFUA_1G02260		NA	0.1
AFUA_1G02270		NA	-0.2
AFUA_1G02280		0.565501105598062	0.5
AFUA_1G02290		NA	0.6
AFUA_1G02300		NA	0
AFUA_1G02310		NA	-0.2
AFUA_1G02320		NA	-0.6
AFUA_1G02330		0.358014656690547	-0.9
AFUA_1G02340		0.12435438244625	1.3
AFUA_1G02350		NA	0.7
AFUA_1G02360		0.680169435679259	0.4
AFUA_1G02370		NA	-0.2
AFUA_1G02380		NA	-0.9
AFUA_1G02390		NA	0
AFUA_1G02400		0.420348598506184	0.7
AFUA_1G02410		0.18773135413958	0.9
AFUA_1G02420		0.812744585574793	0.2
AFUA_1G02430		0.117921004712134	-1.2
AFUA_1G02440		NA	-1.2
AFUA_1G02450		0.351600405054563	-0.8
AFUA_1G02460		0.323652077645746	0.7
AFUA_1G02480		NA	-0.4
AFUA_1G02490		0.112555766357961	-1.4
AFUA_1G02500		NA	0.4
AFUA_1G02510		0.405633715252314	-0.8
AFUA_1G02520		NA	0.3
AFUA_1G02530		NA	-0.8
AFUA_1G02540		0.166905773502735	-0.9
AFUA_1G02550		NA	-0.2
AFUA_1G02560		NA	-1
AFUA_1G02570		0.942216677523426	-0.1
AFUA_1G02580		0.677038411784568	0.3
AFUA_1G02590		0.309396201243082	0.8
AFUA_1G02600		0.166909144484002	1
AFUA_1G02610		0.0434664469621252	1.6
AFUA_1G02620		0.491625296061226	0.6
AFUA_1G02630		0.112090458796209	1.3
AFUA_1G02633	AFUA_1G02633	NA	0
AFUA_1G02636	AFUA_1G02636	NA	0.4
AFUA_1G02640		0.311750859614754	0.8
AFUA_1G02650		NA	-0.3
AFUA_1G02660		NA	0.1
AFUA_1G02670		0.887662955417975	0.1
AFUA_1G02680		0.0644902719539136	1.3
AFUA_1G02700		NA	-0.1
AFUA_1G02710		0.893815894628023	0.1
AFUA_1G02720		NA	0.9
AFUA_1G02730		NA	-0.3
AFUA_1G02740		NA	-1.3
AFUA_1G02750		NA	-0.2
AFUA_1G02760		0.658338150784328	-0.4
AFUA_1G02770		0.844572592781209	0.3
AFUA_1G02780		NA	-0.2
AFUA_1G02800		NA	-0.6
AFUA_1G02810		0.25957189227313	1.1
AFUA_1G02820		0.391941369535163	-0.7
AFUA_1G02830		0.126497435103132	-1.3
AFUA_1G02840		NA	-0.2
AFUA_1G02850		NA	-0.5
AFUA_1G02860		NA	-0.5
AFUA_1G02870		NA	-1
AFUA_1G02880		NA	-1.1
AFUA_1G02890		NA	0.4
AFUA_1G02900		NA	0.5
AFUA_1G02910		NA	0.1
AFUA_1G02920		NA	0.2
AFUA_1G02930		NA	-0.1
AFUA_1G02940		NA	0.8
AFUA_1G02950		NA	-0.5
AFUA_1G02960		NA	0.4
AFUA_1G02970		NA	-0.5
AFUA_1G02980		0.678469523952547	-0.4
AFUA_1G02985		NA	0.3
AFUA_1G02990		0.80008849868039	-0.2
AFUA_1G03000		0.577004781542015	0.6
AFUA_1G03010		0.31158239562233	0.7
AFUA_1G03020		0.673812403116004	-0.4
AFUA_1G03030		0.211021298618205	-0.9
AFUA_1G03035		NA	1
AFUA_1G03040		0.702694566557771	0.3
AFUA_1G03050		0.623039050294175	0.4
AFUA_1G03060		0.368108489579526	-0.6
AFUA_1G03070		0.74926484922916	0.3
AFUA_1G03080		0.291925209211396	-0.6
AFUA_1G03090		0.176775374004721	-1.1
AFUA_1G03100		0.561574438870266	0.4
AFUA_1G03110		0.257027319149228	0.9
AFUA_1G03120		NA	-0.1
AFUA_1G03130		0.373778805092022	0.7
